datasheet.jpg
 -0.00150000,  0.02390000
  0.00290000,  0.21540000
  0.01020000,  0.39890000
  0.01680000,  0.57450000
  0.02780000,  0.75000000
  0.03730000,  0.92550000
  0.05260000,  1.09310000
  0.06940000,  1.24470000
  0.09140000,  1.42820000
  0.11480000,  1.54790000
  0.13600000,  1.61170000
  0.16010000,  1.69950000
  0.18200000,  1.76330000
  0.20030000,  1.81120000
  0.22220000,  1.85900000
  0.25370000,  1.91490000
  0.30480000,  1.99470000
  0.35600000,  2.08240000
  0.41370000,  2.16220000
  0.46490000,  2.25000000
  0.50000000,  2.31380000
  0.53360000,  2.38560000
  0.57090000,  2.44150000
  0.60750000,  2.52930000
  0.64040000,  2.60900000
  0.67180000,  2.66490000
  0.70320000,  2.73670000
  0.73170000,  2.79260000
  0.75950000,  2.84040000
  0.78650000,  2.91220000
  0.81360000,  2.97610000
  0.84500000,  3.04790000
  0.87210000,  3.11170000
  0.89470000,  3.17550000
  0.92400000,  3.25530000
  0.94960000,  3.31910000
  0.97370000,  3.38300000
  0.98830000,  3.44680000
  0.99930000,  3.55850000
